forecast_execution_date_ept,forecast_date,forecast_gen_outage_mw_rto,forecast_gen_outage_mw_west,forecast_gen_outage_mw_other
2/6/2024 12:00:00 AM,2/7/2024 12:00:00 AM,1595,23,1572
2/6/2024 12:00:00 AM,2/8/2024 12:00:00 AM,1595,23,1572
2/6/2024 12:00:00 AM,2/9/2024 12:00:00 AM,1592,23,1569
2/6/2024 12:00:00 AM,2/10/2024 12:00:00 AM,1592,23,1569
2/6/2024 12:00:00 AM,2/11/2024 12:00:00 AM,1592,23,1569
2/6/2024 12:00:00 AM,2/12/2024 12:00:00 AM,2564,23,2541
2/6/2024 12:00:00 AM,2/13/2024 12:00:00 AM,2564,23,2541
2/6/2024 12:00:00 AM,2/14/2024 12:00:00 AM,2564,23,2541
2/6/2024 12:00:00 AM,2/15/2024 12:00:00 AM,2564,23,2541
2/6/2024 12:00:00 AM,2/16/2024 12:00:00 AM,2397,26,2371
2/6/2024 12:00:00 AM,2/17/2024 12:00:00 AM,2609,251,2358
2/6/2024 12:00:00 AM,2/18/2024 12:00:00 AM,2609,251,2358
2/6/2024 12:00:00 AM,2/19/2024 12:00:00 AM,3873,1432,2441
2/6/2024 12:00:00 AM,2/20/2024 12:00:00 AM,4562,2121,2441
2/6/2024 12:00:00 AM,2/21/2024 12:00:00 AM,4604,2121,2483
2/6/2024 12:00:00 AM,2/22/2024 12:00:00 AM,4562,2121,2441
2/6/2024 12:00:00 AM,2/23/2024 12:00:00 AM,6219,2309,3910
2/6/2024 12:00:00 AM,2/24/2024 12:00:00 AM,7495,2309,5186
2/6/2024 12:00:00 AM,2/25/2024 12:00:00 AM,7505,2319,5186
2/6/2024 12:00:00 AM,2/26/2024 12:00:00 AM,7683,2319,5364
2/6/2024 12:00:00 AM,2/27/2024 12:00:00 AM,7655,2316,5339
2/6/2024 12:00:00 AM,2/28/2024 12:00:00 AM,7655,2316,5339
2/6/2024 12:00:00 AM,2/29/2024 12:00:00 AM,7655,2316,5339
2/6/2024 12:00:00 AM,3/1/2024 12:00:00 AM,10025,3745,6280
